;Vertex,頂点Index,位置_x,位置_y,位置_z,法線_x,法線_y,法線_z,エッジ倍率,UV_u,UV_v,追加UV1_x,追加UV1_y,追加UV1_z,追加UV1_w,追加UV2_x,追加UV2_y,追加UV2_z,追加UV2_w,追加UV3_x,追加UV3_y,追加UV3_z,追加UV3_w,追加UV4_x,追加UV4_y,追加UV4_z,追加UV4_w,ウェイト変形タイプ(0:BDEF1/1:BDEF2/2:BDEF4/3:SDEF/4:QDEF),ウェイト1_ボーン名,ウェイト1_ウェイト値,ウェイト2_ボーン名,ウェイト2_ウェイト値,ウェイト3_ボーン名,ウェイト3_ウェイト値,ウェイト4_ボーン名,ウェイト4_ウェイト値,C_x,C_y,C_z,R0_x,R0_y,R0_z,R1_x,R1_y,R1_z
Vertex,17825,-1.254762,12.91256,-1.48745,-0.5721561,0.6426001,-0.5096102,1,0.359375,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17826,-0.9586189,13.47513,-1.110549,-0.5721561,0.6426001,-0.5096102,1,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17827,-1.356184,12.91256,-1.37358,-0.5721561,0.6426001,-0.5096102,1,0.34375,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17828,-1.431547,12.91256,-1.243667,-0.6627954,0.6425489,-0.3844911,1,0.328125,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17829,-1.06516,13.47513,-0.935093,-0.6627954,0.6425489,-0.3844911,1,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17830,-1.506911,12.91256,-1.113753,-0.6627954,0.6425489,-0.3844911,1,0.3125,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17831,-1.553319,12.91256,-0.9727892,-0.7272292,0.6432853,-0.2394194,1,0.296875,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17832,-1.130768,13.47513,-0.7447119,-0.7272292,0.6432853,-0.2394194,1,0.28125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17833,-1.599727,12.91256,-0.8318251,-0.7272292,0.6432853,-0.2394194,1,0.28125,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17834,-1.615397,12.91256,-0.6852274,-0.7600264,0.6447946,-0.08124039,1,0.265625,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
